PLAYER,PTS,Salary,Position
Ben Roethlisberger,0,6800,QB
Matt Forte,0,6800,RB
Dion Lewis*,0,6300,RB
Shaun Hill,0,5100,QB
Scott Tolzien,0,5000,QB
Jimmy Garoppolo,0,5000,QB
AJ McCarron,0,5000,QB
Matt McGloin,0,5000,QB
Colt McCoy,0,5000,QB
Chad Henne,0,5000,QB
Geno Smith,0,5000,QB
Derek Anderson,0,5000,QB
Brock Osweiler,0,5000,QB
Drew Stanton,0,5000,QB
Mike Vick,0,5000,QB
Brandon Weeden,0,5000,QB
Matt Schaub,0,5000,QB
Dan Orlovsky,0,5000,QB
Garrett Grayson,0,5000,QB
Mark Sanchez,0,5000,QB
Mike Glennon,0,5000,QB
Ryan Nassib,0,5000,QB
Case Keenum,0,5000,QB
EJ Manuel,0,5000,QB
Zach Mettenberger,0,5000,QB
Johnny Manziel,0,5000,QB
Tarvaris Jackson,0,5000,QB
Matt Moore,0,5000,QB
Jimmy Clausen,0,5000,QB
Chase Daniel,0,5000,QB
Luke McCown*,0,5000,QB
Charlie Whitehurst,0,5000,QB
Josh Johnson,0,5000,QB
Joe Webb,0,5000,QB
Kellen Moore,0,5000,QB
Austin Davis,0,5000,QB
Matt Barkley,0,5000,QB
Ryan Griffin,0,5000,QB
Aaron Murray,0,5000,QB
Bryce Petty,0,5000,QB
Trevor Siemian,0,5000,QB
Sean Mannion,0,5000,QB
Brett Hundley,0,5000,QB
T.J. Yates,0,5000,QB
Vincent Jackson,0,4700,WR
Kendall Wright,0,4700,WR
Breshad Perriman*,0,4200,WR
Victor Cruz*,0,4000,WR
Percy Harvin*,0,3700,WR
David Johnson,0,3400,RB
Eddie Royal,0,3400,WR
Tommy Bohanon,0,3000,RB
Malcolm Johnson,0,3000,RB
Tyler Clutts,0,3000,RB
Jay Prosch,0,3000,RB
Jerome Felton,0,3000,RB
Adam Thielen,0,3000,WR
Russell Shepard,0,3000,WR
Cameron Meredith,0,3000,WR
Jorvorskie Lane,0,3000,RB
Brittan Golden,0,3000,WR
Marlon Moore,0,3000,WR
Chase Reynolds,0,3000,RB
Zac Stacy,0,3000,RB
Kenjon Barner,0,3000,RB
Dwayne Bowe,0,3000,WR
Matthew Slater,0,3000,WR
Cedric Peerman,0,3000,RB
Toby Gerhart,0,3000,RB
Seyi Ajirotutu,0,3000,WR
Ricardo Lockette*,0,3000,WR
Keshawn Martin,0,3000,WR
T.J. Graham,0,3000,WR
Daniel Herron,0,3000,RB
Bryce Brown,0,3000,RB
Joe Banyard,0,3000,RB
Derrick Coleman,0,3000,RB
Rod Streater,0,3000,WR
Stedman Bailey,0,3000,WR
Brice Butler,0,3000,WR
Stepfan Taylor,0,3000,RB
George Winn,0,3000,RB
Jared Abbrederis,0,3000,WR
Kevin Norwood,0,3000,WR
Brenton Bersin,0,3000,WR
Rashad Ross,0,3000,WR
Geremy Davis,0,3000,WR
Neal Sterling,0,3000,WR
Sammie Coates,0,3000,WR
Aaron Ripkowski,0,3000,RB
Mario Alford,0,3000,WR
Brandon Wegher,0,3000,RB
Nikita Whitlock,0,3000,RB
Matt Hazel,0,3000,WR
Raheem Mostert,0,3000,RB
Trey Williams,0,3000,RB
Ryan Grant,0,3000,WR
