"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"RB","Joique Bell",3300,"Oak@Det 01:00PM ET",5.650,"Det"
"TE","Crockett Gillmore",3300,"StL@Bal 01:00PM ET",10.914,"Bal"
"RB","Javorius Allen",3300,"StL@Bal 01:00PM ET",3.556,"Bal"
"WR","Nelson Agholor",3300,"TB@Phi 01:00PM ET",3.950,"Phi"
"TE","Coby Fleener",3200,"Ind@Atl 01:00PM ET",8.333,"Ind"
"RB","Chris Polk",3200,"NYJ@Hou 01:00PM ET",4.756,"Hou"
"WR","Griff Whalen",3200,"Ind@Atl 01:00PM ET",3.856,"Ind"
"WR","Chris Givens",3200,"StL@Bal 01:00PM ET",4.225,"Bal"
"RB","Chris Thompson",3200,"Was@Car 01:00PM ET",8.600,"Was"
"RB","Jay Ajayi",3200,"Dal@Mia 01:00PM ET",4.450,"Mia"
"WR","Quinton Patton",3200,"SF@Sea 04:25PM ET",5.156,"SF"
"DST","Packers ",3100,"GB@Min 04:25PM ET",7.333,"GB"
"DST","Eagles ",3100,"TB@Phi 01:00PM ET",10.111,"Phi"
"TE","Zach Ertz",3100,"TB@Phi 01:00PM ET",8.244,"Phi"
"TE","Richard Rodgers",3100,"GB@Min 04:25PM ET",10.189,"GB"
"DST","Bengals ",3000,"Cin@Ari 08:30PM ET",7.889,"Cin"
"DST","Jets ",3000,"NYJ@Hou 01:00PM ET",7.556,"NYJ"
"WR","Greg Jennings",3000,"Dal@Mia 01:00PM ET",2.478,"Mia"
"WR","Lance Moore",3000,"Oak@Det 01:00PM ET",8.844,"Det"
"WR","Jason Avant",3000,"KC@SD 04:05PM ET",1.733,"KC"
"WR","Miles Austin",3000,"TB@Phi 01:00PM ET",4.356,"Phi"
"WR","Andre Caldwell",3000,"Den@Chi 01:00PM ET",2.267,"Den"
"RB","Tyler Clutts",3000,"Dal@Mia 01:00PM ET",0.156,"Dal"
"WR","Eric Weems",3000,"Ind@Atl 01:00PM ET",0.233,"Atl"
"WR","Jerricho Cotchery",3000,"Was@Car 01:00PM ET",5.800,"Car"
"WR","Eddie Royal",3000,"Den@Chi 01:00PM ET",8.167,"Chi"
"WR","Wes Welker",3000,"StL@Bal 01:00PM ET",6.200,"StL"
"RB","Ahmad Bradshaw",3000,"Ind@Atl 01:00PM ET",4.025,"Ind"
"RB","Cedric Peerman",3000,"Cin@Ari 08:30PM ET",0.000,"Cin"
"WR","Jerome Simpson",3000,"SF@Sea 04:25PM ET",3.200,"SF"
"RB","Mike Tolbert",3000,"Was@Car 01:00PM ET",4.556,"Car"
"RB","John Kuhn",3000,"GB@Min 04:25PM ET",1.356,"GB"
"WR","Seyi Ajirotutu",3000,"TB@Phi 01:00PM ET",0.000,"Phi"
"WR","Brandon Tate",3000,"Cin@Ari 08:30PM ET",1.544,"Cin"
"RB","Darrel Young",3000,"Was@Car 01:00PM ET",0.522,"Was"
"RB","Antone Smith",3000,"Den@Chi 01:00PM ET",0.367,"Chi"
"RB","Donald Brown",3000,"KC@SD 04:05PM ET",0.433,"SD"
"RB","Jorvorskie Lane",3000,"TB@Phi 01:00PM ET",0.367,"TB"
"WR","Jordan Norwood",3000,"Den@Chi 01:00PM ET",3.167,"Den"
"RB","Bruce Miller",3000,"SF@Sea 04:25PM ET",2.033,"SF"
"WR","Marc Mariani",3000,"Den@Chi 01:00PM ET",0.689,"Chi"
"WR","Andre Roberts",3000,"Was@Car 01:00PM ET",3.500,"Was"
"WR","Riley Cooper",3000,"TB@Phi 01:00PM ET",4.833,"Phi"
"RB","Fred Jackson",3000,"SF@Sea 04:25PM ET",4.733,"Sea"
"WR","Jeremy Ross",3000,"StL@Bal 01:00PM ET",3.200,"Bal"
"RB","Chase Reynolds",3000,"StL@Bal 01:00PM ET",0.000,"StL"
"WR","Joseph Morgan",3000,"StL@Bal 01:00PM ET",0.000,"Bal"
"RB","Fozzy Whittaker",3000,"Was@Car 01:00PM ET",1.456,"Car"
"RB","Stevan Ridley",3000,"NYJ@Hou 01:00PM ET",-0.050,"NYJ"
"RB","Matt Asiata",3000,"GB@Min 04:25PM ET",2.867,"Min"
"RB","Taiwan Jones",3000,"Oak@Det 01:00PM ET",4.014,"Oak"
"WR","Charles Johnson",3000,"GB@Min 04:25PM ET",3.100,"Min"
"WR","Brian Quick",3000,"StL@Bal 01:00PM ET",1.517,"StL"
